Daryn Hornwood
Daven Lannister
Davos Seaworth
Deana Hardyng
Deep Den
Deepdown
Deepwood Motte
Delena Florent
Della Frey
Delonne Allyrion
Delp
Dennis Plumm
Denys Arryn
Denys Darklyn
Denys Drumm
Denys Mallister
Denys Redwyne
Denyse Hightower
Dermot
Desmond
Desmond Grell
Desmond Redwyne
Devan Seaworth
Deziel Dalt
Dick
Dick Crabb
Dickon Frey
Dickon Manwoody
Dickon Tarly
Domeric Bolton
Donal Noye
Donel Greyjoy
Donella Hornwood
Donnel Drumm
Donnel Haigh
Donnel Locke
Donnel Swann
Donnel Waynwood
Donnis
Donnor Saltcliffe
Donnor Stark
Dontos Hollard
Doran Martell
Dorcas
Dorea Sand
Doreah
Dorna Swyft
Dorne
Downdelving
Dragonstone
Dragonstone (House Baratheon of Dragonstone)
Drennan
Driftwood Hall
Drogo
Dunaver
Duncan Targaryen
Dunsen
Dunstan Drumm
Dunstonbury (formerly)
Duram Bar Emmon
Durran
Dyah
Dyanna Dayne
Dykk Harlaw
Eddara Tallhart
Eddard Karstark
Eddard Stark
Edderion Stark
Eddison Tollet
Eden Risley
Edgerran Oakheart
Edmund Ambrose
Edmund Waxley
Edmure Tully
Edmyn Tully
Edric Dayne
Edric Storm
Edrick Stark
Edwyd Fossoway
Edwyle Stark
Edwyn Frey
Edwyn Osgrey
Edwyn Stark
Eggon
Eglantine
Elaena Targaryen
Elbert Arryn
Eldon Estermont
Eldred Codd
Eleanor Mooton
Elenei
Eleyna Westerling
Elia Martell
Elia Sand
Elinor Tyrell
Ella Lannister
Ellaria Sand
Ellery Vance
Ellyn Ever Sweet
Ellyn Reyne
Elmar Frey
Elwood
Elwood Meadows
Elyana Vypren
Elyas Willum
Elyn Norridge
Elys Waynwood
Elys Westerling
Emberlei Frey
Emmon Cuy
Emmon Frey
Emphyria Vance
Endrew Tarth
Enger
Eon Hunter
Erena Glover
Erik Ironmaker
Ermesande Hayford
Erren Florent
Erryk
Ethan Glover
Euron Greyjoy
Eustace Brune
Eustace Hunter
Eustace Osgrey
Evenfall Hall
Extinct
Extinct (formerly Leafy Lake)
Eyron Stark
Faircastle, Fair Isle
Fairmarket
Falena Stokeworth
Falia Flowers
Falyse Stokeworth
Farlen
Fawnton
Feastfires
Felwood
Ferny
Flement Brax
Flint's Finger
Florys the Fox
Forley Prester
Foss the Archer
Franklyn Frey
Frankyln Fowler
Gage
Galbart Glover
Galladon Tarth
Gallowsgrey
Gareth Clifton
Gariss
Garlan Tyrell
Garrett Flowers
Garrett Paege
Garrison Prester
Garse Flowers
Garse Goodbrook
Garth Greenfield
Garth Greenhand
Garth Hightower
Garth Tyrell
Garth the Gardener
Gascoyne
Gates of the Moon
Gates of the Moon (winter)
Gawen Glover
Gawen Swann
Gawen Westerling
Gawen Wylde
Gelmarr
Genna Lannister
Gerald Gower
Geremy Frey
Gerion Lannister
Germund Botley
Gerold Dayne
Gerold Grafton
Gerold Hightower
Gerold Lannister
Gerrick
Gerris Drinkwater
Gevin Harlaw
Ghost Hill
Gilbert Farring
Gilbert of the Vines
Gilly
Gilwood Hunter
Gladden Wylde
Glendon Hewett
Godric Borrell
Godry Farring
Godwyn
Golden Tooth
Goldengrove
Goldgrass
Goodwin
Gormon Peake
Gormond Drumm
Gormond Goodbrother
Gorold Goodbrother
Gowen Baratheon
Gran Goodbrother
Grance Morrigen
Grandview
Grassfield Keep in Grassy Vale
Great Wyk
Greenfield
Greenshield
Greenstone
Gregor Clegane
Gretchel
Grey Garden, Harlaw
Grey Worm
Greydon Goodbrother
Greywater Watch
Griffin's Roost
Grimston
Grisel
Groleo
Grunt
Gulian Qorgyle
Gulian Swann
Gull Tower
Gulltown
Guncer Sunglass
Gunthor Hightower
Guthor Grimm
Guyard Morrigen
Gwayne Corbray
Gwayne Gaunt
Gwayne Hightower
Gwin Goodbrother
Gwynesse Harlaw
Gwyneth Yronwood
Gylbert Farwynd
Gyles Farwynd
Gyles Grafton
Gyles Rosby
Gynir
Gysella Goodbrother
Haegon Blackfyre
Hag's Mire
Hal
Haldon
Halleck Hoare
Hallis Mollen
Halmon Paege
Halys Hornwood
Hammerhal
Hammerhorn
Harbert
Harbert Paege
Harlan Grandison
Harlan Hunter
Harlaw Hall, Harlaw
Harlen Tyrell
Harlon Botley
Harlon Greyjoy
Harmen Uller
Harmond Umber
Harmund Sharp
Harra
Harrag Sharp
Harras Harlaw
Harren Botley
Harren Hoare
Harrenhal
Harrenhal (stripped)
Harridan Hill, Harlaw
Harrion Karstark
Harrold Hardyng
Harrold Osgrey
Harrold Westerling
Harry Strickland
Harvest Hall
Harwin
Harwin Strong
Harwood Fell
Harwood Stout
Harwyn Hoare
Harwyn Plumm
Harys Haigh
Harys Swyft
Hayford
Hayhead
Haystack Hall
Heart's Home
Heke
Helaena Targaryen
Helicent Uffering
Hellholt
Helman Tallhart
Helya
Hendry Bracken
Henly
Herbert Bolling
Herrock Kenning
Heward
High Hermitage
High Tide or Driftmark
Highgarden
Highpoint (Telltale)
Hilmar Drumm
Hizdahr zo Loraq
Hoare
Hoare Castle
Hoarfrost Umber
Hobber Redwyne
Hoke
Holyhall
Honeyholt
Hooded Man
Horas Redwyne
Horn Hill
Hornvale
Hornwood
Horton Redfort
Hosman Norcross
Hosteen Frey
Hoster Frey
Hoster Tully
Hother Umber
Hotho Harlaw
House Algood
House Allyrion of Godsgrace
House Amber
House Ambrose
House Appleton of Appleton
House Arryn of Gulltown
House Arryn of the Eyrie
House Ashford of Ashford
House Ashwood
House Baelish of Harrenhal
House Baelish of the Fingers
House Ball
House Banefort of Banefort
House Bar Emmon of Sharp Point
House Baratheon of Dragonstone
House Baratheon of King's Landing
House Baratheon of Storm's End
House Beesbury of Honeyholt
House Belmore of Strongsong
House Bettley
House Bigglestone
House Blackbar of Bandallon
House Blackfyre of King's Landing
House Blackmont of Blackmont
House Blackmyre
House Blacktyde of Blacktyde
House Blackwood of Raventree Hall
House Blanetree
House Blount
House Boggs
House Boggs of Crackclaw Point
House Bole
House Bolling
House Bolton of the Dreadfort
House Borrell of Sweetsister
House Botley of Lordsport
House Bracken of Stone Hedge
House Branch
House Branfield
House Brax of Hornvale
House Breakstone
House Briar
House Bridges
House Brightstone
House Brook
House Broom
House Brownhill
House Brune of Brownhollow
House Brune of the Dyre Den
House Buckler of Bronzegate
House Buckwell of the Antlers
House Bulwer of Blackcrown
House Burley
House Bushy
House Butterwell
House Byrch
House Bywater
House Cafferen of Fawnton
House Cargyll
House Caron of Nightsong
House Cassel
House Casterly of Casterly Rock
House Caswell of Bitterbridge
House Cave
House Celtigar of Claw Isle
House Cerwyn of Cerwyn
House Chambers
House Charlton
House Chelsted
